caller_number,receiver_number,timestamp,duration_sec,tower_location
+918049193572,+917433797840,2026-06-05 00:10:55,825,Tumkur
+917113971123,+917965067727,2026-07-22 11:41:37,555,Panchkula
+917030884438,+917438989805,2026-04-08 04:55:40,528,Maheshtala
+919746317213,+918521696479,2026-09-10 15:52:24,852,Faridabad
+919479708607,+917469306919,2026-07-06 04:10:24,380,Faridabad
+918985392498,+917469306919,2026-04-29 17:15:39,190,Shimoga
+919744267175,+917033599984,2026-04-14 22:47:44,837,Shimoga
+918722454917,+917063384488,2026-06-25 13:57:45,456,Tumkur
+919744267175,+919361388464,2026-06-25 20:08:58,882,Hosur
+918973214822,+919744267175,2026-04-03 01:19:27,471,Hosur
+917063384488,+917562117925,2026-09-14 03:35:09,634,Panchkula
+918338811290,+917373399426,2026-08-30 16:05:39,516,Maheshtala
+918699226064,+918816803306,2026-06-09 06:23:11,227,Maheshtala
+918948728483,+918338811290,2026-04-07 11:34:53,296,Tumkur
+919744267175,+919427631155,2026-08-15 22:12:35,20,Shimoga
+919510777721,+918973214822,2026-06-16 00:08:50,257,Panchkula
+918816803306,+919427631155,2026-07-25 20:05:23,786,Hosur
+918722454917,+918816803306,2026-06-17 22:07:37,468,Nizamabad
+918973214822,+917002456273,2026-05-05 22:45:20,236,Panchkula
+919927923735,+918034535593,2026-08-16 09:30:53,689,Tumkur
+917030884438,+918722454917,2026-09-11 22:57:55,576,Shimoga
+917965067727,+917469306919,2026-04-30 12:40:54,773,Shimoga
+918338811290,+917965067727,2026-06-25 15:49:44,729,Faridabad
+919744267175,+918034535593,2026-05-26 01:18:51,267,Hosur
+917433797840,+919510777721,2026-09-01 07:14:53,333,Bhiwandi
+917514909066,+918699226064,2026-06-17 19:21:44,206,Hosur
+918722454917,+919744267175,2026-08-24 12:53:39,751,Tumkur
+917244295904,+918049193572,2026-08-21 17:52:33,299,Bhiwandi
+919510777721,+917002456273,2026-05-06 11:07:10,242,Maheshtala
+918699226064,+918034535593,2026-08-08 05:37:46,24,Shimoga
+919878380452,+919744267175,2026-05-31 18:40:13,56,Nizamabad
+919427631155,+917002456273,2026-09-03 13:28:47,724,Kottayam
+918816803306,+919479708607,2026-06-17 17:09:29,22,Tumkur
+917002456273,+918722454917,2026-08-13 19:25:26,500,Faridabad
+918338811290,+918699226064,2026-05-07 15:59:37,62,Haridwar
+918722454917,+917433797840,2026-05-10 12:50:28,851,Bhiwandi
+919030106617,+918816803306,2026-07-02 04:05:32,85,Tumkur
+917027911967,+918985392498,2026-09-15 08:41:42,162,Tumkur
+918034535593,+918973214822,2026-06-14 09:52:59,264,Bhiwandi
+919427631155,+918521696479,2026-04-13 03:56:33,630,Tumkur
+917033599984,+918652563013,2026-06-23 08:15:53,804,Shimoga
