sender_account,sender_name,receiver_account,receiver_name,amount,date,ifsc
XXXX2169,Gaurika Deshmukh,XXXX1750,Rehaan Bahl,358110,2026-02-28,VJCUGBZ3
XXXX5374,Advaith Yadav,XXXX5010,Waida Barman,170454,2025-08-31,FISOGBP7
XXXX6881,Darpan Naik,XXXX1434,Urmi Sinha,231562,2026-04-17,EYRIGBCO
XXXX9935,Bachittar Rastogi,XXXX2307,Timothy Dutt,232844,2026-02-02,LVFQGBGU
XXXX7224,Yagnesh Om,XXXX4527,Radhika Brahmbhatt,311074,2026-01-18,RIJYGB9X
XXXX2679,Anita Padmanabhan,XXXX8527,Keya Chauhan,266990,2026-08-11,CFSJGB7U
XXXX9935,Bachittar Rastogi,XXXX7224,Yagnesh Om,243086,2026-05-17,AVKBGBQB
XXXX1750,Rehaan Bahl,XXXX4657,Ryan Thaker,30826,2026-01-21,PXCBGBRO
XXXX3045,Arin Lata,XXXX2674,Varenya Bajaj,41229,2026-03-17,VOXVGBVA
XXXX7912,Shravya Rattan,XXXX5010,Waida Barman,312468,2025-09-12,KNMBGBJY
XXXX5554,Kritika Buch,XXXX2291,Nitara Handa,243594,2026-03-01,CINCGB4T
XXXX2169,Gaurika Deshmukh,XXXX4432,Deepa Wali,416140,2025-10-31,BPNUGBBZ
XXXX4657,Ryan Thaker,XXXX1750,Rehaan Bahl,477603,2026-06-09,NCQTGB92
XXXX5374,Advaith Yadav,XXXX4611,Zashil Balasubramanian,169572,2026-01-24,AMDIGBGX
XXXX3803,Hema Srivastava,XXXX2307,Timothy Dutt,263860,2026-06-25,RUPLGBDF
XXXX1434,Urmi Sinha,XXXX2679,Anita Padmanabhan,237203,2026-07-20,HZOPGBWV
XXXX1488,Indrajit Pillay,XXXX5333,Gautam Narula,375507,2025-10-05,ZQVIGBC1
XXXX7912,Shravya Rattan,XXXX5554,Kritika Buch,339756,2025-12-21,PKCNGB2W
XXXX9928,Tara Konda,XXXX4657,Ryan Thaker,130889,2026-07-26,HXCUGBIV
XXXX1750,Rehaan Bahl,XXXX6977,Fiyaz Wali,275070,2025-12-13,MZSQGBDF
XXXX5010,Waida Barman,XXXX4257,Ishaan Patel,191787,2026-01-29,ZZMKGBFS
XXXX3045,Arin Lata,XXXX2674,Varenya Bajaj,204117,2025-10-12,IKAWGBIR
XXXX6925,Udarsh Singhal,XXXX5333,Gautam Narula,356937,2026-02-14,HKZBGB6X
XXXX3803,Hema Srivastava,XXXX2679,Anita Padmanabhan,414782,2026-08-10,VIIOGB66
XXXX5333,Gautam Narula,XXXX9935,Bachittar Rastogi,173852,2026-05-31,XNSKGBVW
XXXX1488,Indrajit Pillay,XXXX4432,Deepa Wali,356666,2026-02-02,ZNKRGBCG
XXXX2291,Nitara Handa,XXXX2674,Varenya Bajaj,133118,2025-12-21,JQCUGBCZ
XXXX3803,Hema Srivastava,XXXX1434,Urmi Sinha,175777,2026-08-23,HHPDGBNV
XXXX7912,Shravya Rattan,XXXX2169,Gaurika Deshmukh,348923,2026-06-22,WFTLGB3H
XXXX1434,Urmi Sinha,XXXX8527,Keya Chauhan,163650,2025-09-30,CUILGBJL
XXXX5803,Charita Chowdhury,XXXX9279,Abhiram Varghese,312972,2026-05-23,DSIIGB3O
XXXX7912,Shravya Rattan,XXXX7224,Yagnesh Om,294036,2026-01-16,WGVKGB01
XXXX2291,Nitara Handa,XXXX5333,Gautam Narula,427343,2026-05-18,QVALGB2V
XXXX9279,Abhiram Varghese,XXXX6977,Fiyaz Wali,49996,2026-01-18,MYVCGBH8
XXXX4150,Yashodhara Nadig,XXXX5554,Kritika Buch,190702,2026-03-03,QVYBGBJS
XXXX5506,Onkar Mani,XXXX3045,Arin Lata,162934,2026-07-13,UWWOGBMZ
XXXX9928,Tara Konda,XXXX5557,Bachittar Kumer,180166,2026-04-16,VEHRGB3C
XXXX2654,Quincy Wali,XXXX4611,Zashil Balasubramanian,119773,2025-10-17,FWKDGBYP
XXXX9279,Abhiram Varghese,XXXX1434,Urmi Sinha,41456,2026-06-15,MZJNGBMI
XXXX2674,Varenya Bajaj,XXXX1488,Indrajit Pillay,267175,2026-01-20,SWLPGBC0
XXXX7065,Ekaja Verma,XXXX6977,Fiyaz Wali,20790,2025-09-22,OGQCGB8D
XXXX5333,Gautam Narula,XXXX5010,Waida Barman,69707,2026-03-23,YXNYGBRS
XXXX3803,Hema Srivastava,XXXX2291,Nitara Handa,81872,2026-08-10,IAUUGBS6
